en	zo
my home	ka inn
my love	ka ngaih
my baby	ka nau
my babe	ka ngaihno
my name	ka min
my name is	ka min pen
my workflow	ka nasepzia
now blocking some of my workflow	tun ka nasepzia honkhat hong khat
Could you please help me understand?	Hehpihna tawh ka teltheihna ding nong huhtheih diam?
Could you help me?	Nong huhtheih diam?
to understand	teltheihna ding
best regards	zahtakna tawh
I love you.	Ken nang hong ngai ing.
love you	nang hong ngai
Please help mes	Hehpihna tawh kei hong huh in.
help me	kei hong huh in
Good morning.	Zingsang pha.
morning	zingsang
What is your name?	Na min bang hiam?
what is	bang
your name	na min
How are you?	Dam maw?
How are you?	Na dam hia?
I am fine.	Kei dam ing e.
This is a test.	Hih pen sinna hi.
this is	hih pen
How old are you?	Nang kum bangzah hita?
What is your age?	Nang kum bangzah phata?
your age	na kum
how much	bangzah
be sufficient	phata
Your name is	Na min pen


Nice to see you.	Ki muh theih lungdam.
Thank you very much.	Lungdam mahmah.
safe journey	na pai nuam in
I am happy.	Kei lungdam.
Where is the toilet?	Dailenbuk koi ah om ahia?

get it done	man sak in
Please go away.	Hehpihna tawh pai khia in.